Parametros	pH	Conductividad  Turbidez   Coliformes
Fuente_1	6.75	    100	      1	       0
Fuente_2	6.92	    158	      0	       0
Fuente_3	7.36	    269	      0	       0
Fuente_4	7.22	    239	      0	       0
Fuente_5	6.58	    194	      0            0
Fuente_6	7.94	    163	      0	       0
Fuente_7	6.12	    281	      5	       1
Fuente_8	7.81	    161	      3	       1
Fuente_9	6.67	    121	      2	       0
Fuente_10	7.55	    103	      0	       0
Fuente_11	6.41	    200	      0	       0
Fuente_12	7.17	    214	      0	       0
Fuente_13	6.89	    116	      0	       0
Fuente_14	7.76	    117	      1 	       1
Fuente_15	6.28	    112	      1	       0
Fuente_16	7.63	    108	      1	       0
Fuente_17	6.84	    203	      10	       2
Fuente_18	7.08	    269	      5	       1
Fuente_19	6.47	    244	      4 	       1
Fuente_20	7.45	    219	      0	       0
Fuente_21	6.23	    201	      0	       0
Fuente_22	7.28	    121	      0	       0
Fuente_23	6.73	    141	      1	       0
Fuente_24	7.13	    166	      0	       0
Fuente_25	6.96	    173	      0	       0
